"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
"AMERICOLD LOGISTICS ARGENTINA SA";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"649";"23";"54,17"
"AMPACET SOUTH AMERICA SRL";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"900000";"2933";"10";"24,85"
"AMR CONSULTORES DE SEGUROS SA";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"696000";"1701";"24";"94,24"
"AMX_BACKBONE";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"8237";"0";"0"
"AMX_SISTEMAS";"0";"1";"0";"0";"0";"45";"5";"0";"0";"0";"1";"0";"0";"0";"0";"2";"50";"0";"719";"0";"0"
"ANAVI S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"900000";"2883";"18";"372,3"
"ANCLAMAR INDUSTRIA METALURGICA SA";"0";"0";"1";"0";"0";"0";"2";"0";"0";"2";"0";"0";"0";"0";"1";"2";"4";"487200";"678";"36";"73,84"
"ANDESMAR CARGAS SA";"1";"0";"0";"0";"0";"4";"2";"0";"0";"1";"0";"1";"0";"0";"0";"3";"7";"3385740";"823";"117";"86,07"
"ANDREANI LOGISTICA S.A.";"0";"0";"1";"0";"0";"21";"26";"1";"0";"0";"0";"1";"0";"0";"0";"3";"48";"28061400";"1538";"1803";"97,95"
"ANGEL ESTRADA Y COMPAÑIA S.A.";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1201200";"3184";"39";"17,51"
"ANGEL M ALVAREZ S.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"612";"0";"0"
"ANGELA NESCI SRL";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"748440";"2243";"18";"22,28"
"ANGIOCOR SA";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"2";"2";"252000";"59";"8";"62,52"
"ANJOR SA";"0";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"1425600";"223";"6";"8,53"
"ANKA-LOO CONSTRUCCIONES SRL";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"504000";"256";"1";"13,19"
"ANSAL REFRIGERACION SA";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"900000";"1393";"6";"14,98"
